University Name,Applicants for 2018,Source
Princeton University,35370,https://registrar.princeton.edu/sites/g/files/toruqf136/files/2019-04/common_cds_2018-2019_0.pdf
Harvard University,42749,https://oir.harvard.edu/files/huoir/files/harvard_cds_2018-19.pdf
University of Chicago,27503,https://toptieradmissions.com/resources/college-admissions-statistics/university-of-chicago-acceptance-rates/
Yale University,35307,https://oir.yale.edu/sites/default/files/cds_yale_2018-2019.pdf
Columbia University,32952,https://toptieradmissions.com/resources/college-admissions-statistics/columbia-university-acceptance-rates/
Massachusetts Institute of Technology,21706,https://ir.mit.edu/cds-2019
Stanford University,47452,https://ucomm.stanford.edu/wp-content/uploads/sites/15/2019/01/stanford-cds-2018.pdf
University of Pennsylvania,44491,https://ira.upenn.edu/sites/default/files/UPenn-Common-Data-Set-2018-19.pdf
Duke University,35767,https://finance.provost.duke.edu/sites/default/files/u21/CDS_2018-2019.pdf
California Institute of Technology,8208,https://finance.caltech.edu/documents/15173/cds2019.pdf
Dartmouth College,22033,https://www.dartmouth.edu/oir/pdfs/cds_2018-2019.pdf
Johns Hopkins University,28096,http://commondatasets.com/JHU.html
Northwestern University,40425,https://enrollment.northwestern.edu/pdf/common-data/2018-19.pdf
Brown University,35437,https://oir.brown.edu/sites/default/files/2020-04/CDS_2018_2019_FINAL.pdf
Cornell University,51324,http://irp.dpb.cornell.edu/wp-content/uploads/2019/08/CDS_2018-2019_v6.pdf
Rice University,20923,https://rice.app.box.com/embed/s/jjzd7t0uen14ezlcprryz7beri3xdnjf?sortColumn=date&view=list
Vanderbilt University,34313,https://cdn.vanderbilt.edu/vu-wp0/wp-content/uploads/sites/300/2019/08/15201349/Common-Data-Set-2018-2019.pdf
University of Notre Dame,20371,https://www3.nd.edu/~instres/CDS/2018-2019/CDS_2018-2019.pdf
Washington University in St. Louis,31320,https://wustl.edu/wp-content/uploads/2019/06/wustl-cds-2018-2019.pdf
Georgetown University,22872,https://georgetown.app.box.com/s/4kq8y4ud4d3kwsvxaf37rsvvibhtydd7
Emory University,27559,https://provost.emory.edu/planning-administration/_includes/documents/sections/institutional-data/Emory-Common-Data-Set-2018-2019.pdf
University of California--Berkeley,89609,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
University of California--Los Angeles,113755,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
University of Southern California,64352,https://oir.usc.edu/wp-content/uploads/2019/06/CDS_2018-2019_FINAL1.pdf
Carnegie Mellon University,24351,https://www.cmu.edu/ira/CDS/pdf/cds_2018-19/c-first-time-first-year-admission.pdf
University of Virginia,37182,https://ira.virginia.edu/cds-2018-19
Wake Forest University,12937,https://prod.wp.cdn.aws.wfu.edu/sites/202/2019/04/CDS_2018-2019.pdf
University of Michigan--Ann Arbor,64917,https://obp.umich.edu/wp-content/uploads/pubdata/cds/cds_2018-2019_umaa.pdf
Tufts University,21501,https://provost.tufts.edu/institutionalresearch/files/CDS_2018-2019-Final-Revised-7.22.19.pdf
New York University,71834,https://www.nyu.edu/content/dam/nyu/institutionalResearch/documents/CDS_2018-2019.pdf
University of North Carolina--Chapel Hill,43473,https://oira.unc.edu/wp-content/uploads/sites/297/2020/05/CDS_2018-2019_20200513.pdf
Boston College,31084,https://www.bc.edu/content/dam/files/publications/factbook/pdf/18-19_factbook.pdf
College of William and Mary,14644,https://www.wm.edu/offices/it/services/ir/university_data/cds/2018-2019-common-data-set-working-file.xlsx
Brandeis University,11798,https://admissionschat.com/storage/102/c102a7e59e2562c32b2e4aeebb1761b48.pdf
Georgia Institute of Technology,35612,https://irp.gatech.edu/common-data-set
